token_gold,token_whisper,optimization,count
eh,non,event_based,6
sì,che,event_based,6
da,_,wer_based,6
eh,che,wer_based,6
del,_,wer_based,6
s~,_,wer_based,6
del,_,event_based,6
ahah,_,wer_based,6
s~,_,event_based,6
eh,la,wer_based,6
perfetto,_,wer_based,6
da,_,event_based,6
mhmh,sì,event_based,6
delle,_,event_based,6
sì,si,event_based,6
okay,grazie,wer_based,6
le,_,event_based,6
ahah,_,event_based,6
mh,perché,event_based,6
mhmh,grazie,wer_based,5
della,_,wer_based,5
emh,_,event_based,5
ha,_,wer_based,5
appunto,_,wer_based,5
ok,okay,wer_based,5
ci,_,event_based,5
appunto,_,event_based,5
era,_,wer_based,5
eh,in,event_based,5
ok,okay,event_based,5
era,_,event_based,5
della,_,event_based,5
eh,ma,event_based,5
eh,in,wer_based,5
eh,c'è,wer_based,5
mh,no,wer_based,5
mh,il,wer_based,5
eh,un,event_based,5
sì,per,event_based,5
sì,e,wer_based,5
mi,_,wer_based,5
emh,_,wer_based,5
sì,è,event_based,5
mhmh,grazie,event_based,5
sì,si,wer_based,5
sì,e,event_based,5
eh,un,wer_based,5
vabbè,_,event_based,4
mh,mi,event_based,4
già,_,wer_based,4
ecco,_,wer_based,4
so~,_,wer_based,4
ma,_,event_based,4
bello,_,event_based,4
so~,_,event_based,4
molto,_,wer_based,4
okay,sì,event_based,4
eh,si,event_based,4
mh,c'è,event_based,4
già,_,event_based,4
bello,_,wer_based,4
ecco,_,event_based,4
mh,mi,wer_based,4
mh,la,wer_based,4
sì,è,wer_based,4
mi,_,event_based,4
per,_,wer_based,4
eh,mi,event_based,4
molto,_,event_based,4
mh,sono,wer_based,4
per,_,event_based,4
mh,ci,wer_based,4
mh,ma,event_based,4
son,_,wer_based,4
eh,no,event_based,4
cer~,_,wer_based,4
mh,sono,event_based,4
eh,c'è,event_based,4
ha,_,event_based,4
eh,si,wer_based,3
eh,ma,wer_based,3
questa,_,wer_based,3
i,_,event_based,3
eh,no,wer_based,3
gli,_,wer_based,3
eh,tutti,wer_based,3
ci,_,wer_based,3
alla,_,wer_based,3
parte,_,event_based,3
benissimo,_,wer_based,3
okay,non,event_based,3
ah,non,event_based,3
parte,_,wer_based,3
c'è,_,event_based,3
anche,_,event_based,3
mh,un,wer_based,3
f~,_,wer_based,3
ah,grazie,wer_based,3
i,_,wer_based,3
nella,_,event_based,3
sì,un,wer_based,3
sì,sono,wer_based,3
mh,si,event_based,3
x,_,event_based,3
ah,grazie,event_based,3
wow,_,wer_based,3
son,_,event_based,3
pre~,_,wer_based,3
eh,tutti,event_based,3
cosa,_,wer_based,3
ragione,_,event_based,3
gli,_,event_based,3
l'ho,_,event_based,3
questa,_,event_based,3
mh,la,event_based,3
ne,_,event_based,3
eh,io,event_based,3
no,ma,event_based,3
nome,_,wer_based,3
so,_,wer_based,3
wow,_,event_based,3
sì,sono,event_based,3
sì,un,event_based,3
pre~,_,event_based,3
ne,_,wer_based,3
alla,_,event_based,3
que~,_,event_based,3
f~,_,event_based,3
eh,ah,wer_based,3
anche,_,wer_based,3
eh,allora,event_based,3
mh,c'è,wer_based,3
sì,c'è,wer_based,3
c~,_,wer_based,3
x,_,wer_based,3
que~,_,wer_based,3
mhmhmh,_,event_based,3
tre,_,wer_based,3
c'è,_,wer_based,3
mh,ci,event_based,3
ma,_,wer_based,3
mhmhmh,_,wer_based,3
cazzo,_,wer_based,3
okay,non,wer_based,3
giusto,_,wer_based,3
sì,nel,wer_based,3
tre,_,event_based,3
eh,allora,wer_based,3
benissimo,_,event_based,3
eh,io,wer_based,3
mh,per,wer_based,3
giusto,_,event_based,3
sì,mi,wer_based,3
mh,ma,wer_based,3
mh,di,event_based,3
mhmh,di,wer_based,3
l'ho,_,wer_based,3
eh,quindi,wer_based,3
l'unico,_,event_based,2
c'era,_,wer_based,2
mhmh,è,event_based,2
meraviglia,_,wer_based,2
xun,_,wer_based,2
port~,_,wer_based,2
mh,nome,wer_based,2
eh,ah,event_based,2
sì,no,wer_based,2
ehm,c'è,wer_based,2
mh,ad,wer_based,2
port~,_,event_based,2
questo,_,event_based,2
ah,e,wer_based,2
okay,quindi,event_based,2
eh,l'anno,event_based,2
moruo,_,event_based,2
bibliografia,_,event_based,2
sì,c'è,event_based,2
brava,_,event_based,2
dentro,_,event_based,2
eh,po,wer_based,2
me,_,event_based,2
si,sì,wer_based,2
mhmh,o,wer_based,2
film,_,event_based,2
test,_,event_based,2
ah,per,event_based,2
lo~,_,event_based,2
essendo,_,wer_based,2
ma~,_,wer_based,2
mh,in,wer_based,2
mh,i,wer_based,2
questo,_,wer_based,2
eh,bello,wer_based,2
uno,_,wer_based,2
eh,da,event_based,2
fantastico,_,event_based,2
guo,_,wer_based,2
me,_,wer_based,2
mhmh,per,wer_based,2
okay,c'è,wer_based,2
test,_,wer_based,2
poteva,_,event_based,2
sì,okay,wer_based,2
c~,_,event_based,2
carino,_,wer_based,2
sì,non,wer_based,2
le~,_,wer_based,2
moruo,_,wer_based,2
mhmh,è,wer_based,2
sì,la,event_based,2
nella,_,wer_based,2
si,sì,event_based,2
assolutamente,_,wer_based,2
dal,_,wer_based,2
assolutamente,_,event_based,2
ri~,_,wer_based,2
lo~,_,wer_based,2
al~,_,wer_based,2
essendo,_,event_based,2
ti,_,wer_based,2
no~,_,wer_based,2
le~,_,event_based,2
ma~,_,event_based,2
ehm,allora,wer_based,2
okay,è,event_based,2
eh,perché,event_based,2
e,non,event_based,2
ragione,_,wer_based,2
da~,_,event_based,2
su,_,wer_based,2
eh,se,event_based,2
ancora,_,wer_based,2
mh,poi,event_based,2
mhmh,a,wer_based,2
mh,po,event_based,2
bi,_,event_based,2
so,_,event_based,2
mh,l'unica,event_based,2
sì,nel,event_based,2
mh,l'unica,wer_based,2
rio,_,event_based,2
eh,a,wer_based,2
eh,mi,wer_based,2
ehm,quindi,wer_based,2
erano,_,wer_based,2
sì,era,event_based,2
dentro,_,wer_based,2
capi~,_,wer_based,2
eh,sono,wer_based,2
ehm,è,wer_based,2
ah,per,wer_based,2
c'era,_,event_based,2
mhmh,il,wer_based,2
ehm,c'è,event_based,2
bibliografia,_,wer_based,2
mh,sì,event_based,2
brava,_,wer_based,2
carino,_,event_based,2
ancora,_,event_based,2
meraviglioso,_,event_based,2
sì,a,event_based,2
ehm,allora,event_based,2
l'unico,_,wer_based,2
mhmh,di,event_based,2
nome,_,event_based,2
al,_,wer_based,2
ehm,non,wer_based,2
mh,con,event_based,2
okay,un,wer_based,2
possono,_,event_based,2
erano,_,event_based,2
mh,ad,event_based,2
eh,assolutamente,event_based,2
ehm,sono,wer_based,2
essere,_,event_based,2
contratto,_,event_based,2
sì,okay,event_based,2
ehm,sono,event_based,2
può,_,event_based,2
vai,_,wer_based,2
uh,_,wer_based,2
ehm,sì,event_based,2
revoca,_,wer_based,2
vabbè,_,wer_based,2
senso,_,event_based,2
no~,_,event_based,2
uno,_,event_based,2
ah,perché,wer_based,2
qui,_,event_based,2
dal,_,event_based,2
eh,il,event_based,2
mhmh,a,event_based,2
bi,_,wer_based,2
mhmh,okay,event_based,2
da~,_,wer_based,2
cer~,_,event_based,2
am~,_,event_based,2
film,_,wer_based,2
quello,_,event_based,2
ec~,_,wer_based,2
ah,non,wer_based,2
okay,c'è,event_based,2
cosa,_,event_based,2
mh,con,wer_based,2
capi~,_,event_based,2
e,non,wer_based,2
chiaro,_,wer_based,2
fantastico,_,wer_based,2
possono,_,wer_based,2
am~,_,wer_based,2
convalida,_,wer_based,2
ehm,che,event_based,2
sta,_,event_based,2
ah,mi,wer_based,2
mh,in,event_based,2
xun,_,event_based,2
eh,a,event_based,2
emh,e,wer_based,2
devi,_,wer_based,2
sì,perché,event_based,2
mh,il,event_based,2
mh,una,wer_based,2
uh,_,event_based,2
senso,_,wer_based,2
qui,_,wer_based,2
eh,il,wer_based,2
così,_,event_based,2
chiaro,_,event_based,2
eh,sono,event_based,2
come,_,event_based,2
revoca,_,event_based,2
essere,_,wer_based,2
mh,di,wer_based,2
convalida,_,event_based,2
sì,mi,event_based,2
eh,l'anno,wer_based,2
devi,_,event_based,2
ti,_,event_based,2
al,_,event_based,2
mai,_,event_based,2
così,_,wer_based,2
ehm,quindi,event_based,2
rio,_,wer_based,2
al~,_,event_based,2
eh,anche,wer_based,2
può,_,wer_based,2
mh,per,event_based,2
fatto,_,event_based,2
ah,perché,event_based,2
eh,anche,event_based,2
due,_,wer_based,2
eh,okay,event_based,2
ehm,non,event_based,2
mh,comunque,wer_based,2
quello,_,wer_based,2
ec~,_,event_based,2
su,_,event_based,2
eh,quindi,event_based,2
guo,_,event_based,2
okay,quindi,wer_based,2
buiatti,_,event_based,1
rivi~,_,event_based,1
mhmh,guarda,event_based,1
titolo,_,event_based,1
mh,meglio,event_based,1
fem~,_,event_based,1
eh,yubanir,event_based,1
cosè,cos'è,event_based,1
scri~,_,event_based,1
sì,ehm,event_based,1
mh,se,event_based,1
secondo,buco,event_based,1
m,media,event_based,1
marca,_,event_based,1
okay,l'autore,event_based,1
è,preferisco,event_based,1
rivista,_,event_based,1
giustamente,_,event_based,1
e,ehm,event_based,1
la~,io,event_based,1
mh,cos'è,event_based,1
eh,calcio,event_based,1
okay,vabbè,event_based,1
stai,_,event_based,1
okay,tipo,event_based,1
mhmh,il,event_based,1
okay,un,event_based,1
okay,che,event_based,1
certo,so,event_based,1
richiamo,da,event_based,1
mhmh,o,event_based,1
okay,piacerebbe,event_based,1
mh,apprendista,event_based,1
trentadue,_,event_based,1
mhmh,però,event_based,1
frequentar~,_,event_based,1
mancato,_,event_based,1
okay,però,event_based,1
foravi,_,event_based,1
mhmh,nell'ambito,event_based,1
oh,sì,event_based,1
ehm,ho,event_based,1
mio,sì,event_based,1
dio,sì,event_based,1
ehm,week,event_based,1
eh,big,event_based,1
suonicchiare,a,event_based,1
suoni~,_,event_based,1
sì,non,event_based,1
okay,c'erano,event_based,1
eh,dio,event_based,1
sì,avevate,event_based,1
okay,di,event_based,1
mhmh,quindi,event_based,1
settimana,_,event_based,1
ho,mi,event_based,1
la,okay,event_based,1
eh,una,event_based,1
restan~,_,event_based,1
okay,vanno,event_based,1
che,faceva,event_based,1
ah,suo,event_based,1
li~,_,event_based,1
scuola,_,event_based,1
mh,proprio,event_based,1
parola,_,event_based,1
determinato,_,event_based,1
ad,_,event_based,1
nazio~,_,event_based,1
ferefi,_,event_based,1
biblioc~,bibliografiche,event_based,1
mh,a,event_based,1
mh,l'università,event_based,1
mh,comunque,event_based,1
sì,vuole,event_based,1
eh,vanno,event_based,1
l'avre~,l'ho,event_based,1
ottantasei,_,event_based,1
novantase~,_,event_based,1
bilbiografiche,_,event_based,1
eh,l'ho,event_based,1
ci,grazie,event_based,1
eh,giornalista,event_based,1
assumer~,_,event_based,1
tr~,_,event_based,1
eh,primo,event_based,1
a,ah,event_based,1
andav~,_,event_based,1
vero,sa,event_based,1
ma,no,event_based,1
pesato,_,event_based,1
han~,_,event_based,1
sta,okay,event_based,1
son,d'accordo,event_based,1
fina~,_,event_based,1
cinquantas~,_,event_based,1
sessantase~,_,event_based,1
eh,sessantasette,event_based,1
peccato,antipopera,event_based,1
è,non,event_based,1
debitomh,_,event_based,1
eh,bounded,event_based,1
sull'indebitamento,_,event_based,1
l'emigrazione,_,event_based,1
l'immi~,_,event_based,1
ho,l'emigrazione,event_based,1
ah,e,event_based,1
all'immigrazione,_,event_based,1
eh,babbo,event_based,1
eh,impossibilità,event_based,1
eh,didattiche,event_based,1
era,ma,event_based,1
sì,poi,event_based,1
professionale,detto,event_based,1
stato,l'hai,event_based,1
sei,non,event_based,1
nu~,_,event_based,1
ehm,siccome,event_based,1
mito,_,event_based,1
sto~,_,event_based,1
merda,_,event_based,1
spara~,_,event_based,1
cacchio,_,event_based,1
portav~,_,event_based,1
atleta,_,event_based,1
sap~,_,event_based,1
felice,ferito,event_based,1
tri~,treo,event_based,1
mh,da,event_based,1
eh,delle,event_based,1
eh,accolto,event_based,1
mh,quale,event_based,1
mh,trovare,event_based,1
soltato,soltanto,event_based,1
su~,_,event_based,1
mh,punti,event_based,1
incapace,_,event_based,1
contratti,_,event_based,1
capa~,_,event_based,1
io,più,event_based,1
eh,migrazioni,event_based,1
ah,ragazzo,event_based,1
eh,per,event_based,1
nean~,esempio,event_based,1
sì,assolutamente,event_based,1
mobil~,_,event_based,1
certa,_,event_based,1
l'al~,l'atleta,event_based,1
sì,infatti,event_based,1
eh,all'estruzzino,event_based,1
più,_,event_based,1
sape~,_,event_based,1
divers~,_,event_based,1
padronanza,_,event_based,1
eheh,_,event_based,1
eh,testo,event_based,1
eh,l'america,event_based,1
mhmh,d'america,event_based,1
livello,_,event_based,1
eh,test,event_based,1
mh,l'allievo,event_based,1
all'interno,_,event_based,1
all'indet~,_,event_based,1
crea~,_,event_based,1
dimostra~,_,event_based,1
tes~,_,event_based,1
frequentante,_,event_based,1
sì,d'accordo,event_based,1
firmerò,_,event_based,1
du~,fermerò,event_based,1
cer~,ah,event_based,1
m,è,event_based,1
mhmh,non,event_based,1
sì,comunque,event_based,1
inter~,_,event_based,1
scusa,_,event_based,1
vogliono,_,event_based,1
eh,all'integrazione,event_based,1
pos~,_,event_based,1
l'istruttore,fare,event_based,1
metolo~,_,event_based,1
eh,ventitrenta,event_based,1
eh,l'intervento,event_based,1
eh,all'interno,event_based,1
mh,tipo,event_based,1
sì,magari,event_based,1
eh,coal,event_based,1
sì,fare,event_based,1
caresti~,_,event_based,1
prim~,_,event_based,1
all'effi~,_,event_based,1
sì,di,event_based,1
sottopon~,_,event_based,1
esatto,retest,event_based,1
insomma,_,event_based,1
co~,_,event_based,1
e,deve,event_based,1
eh,ricorda,event_based,1
compe~,_,event_based,1
sì,preciso,event_based,1
spegazioni,spiegazioni,event_based,1
spieg~,_,event_based,1
delle,alle,event_based,1
hascelto,_,event_based,1
senti'tre,_,event_based,1
vede~,_,event_based,1
voglio,senti,event_based,1
visto,vista,event_based,1
ho,fatto,event_based,1
fa~,ha,event_based,1
hai,mi,event_based,1
ah,chiami,event_based,1
grugno,le,event_based,1
er,spacca,event_based,1
d~,_,event_based,1
giugno,giù,event_based,1
insegnate,_,event_based,1
no,quindi,event_based,1
infatti,fai,event_based,1
ste,stanno,event_based,1
inascoltabili,_,event_based,1
m~,_,event_based,1
indentico,_,event_based,1
me,mi,event_based,1
tut~,_,event_based,1
mhmhmh,mi,event_based,1
mh,adesso,event_based,1
sfasciate,uno,event_based,1
dell'autore,_,event_based,1
il,dell'autore,event_based,1
l'au~,_,event_based,1
mh,nome,event_based,1
lu,_,event_based,1
lu,grazie,event_based,1
mh,mio,event_based,1
mh,nomi,event_based,1
sì,due,event_based,1
nome,e,event_based,1
sì,short,event_based,1
eh,po,event_based,1
trad~,_,event_based,1
tradotte,_,event_based,1
arrivavi,arrivava,event_based,1
fonda,_,event_based,1
vari,_,event_based,1
varie,_,event_based,1
anal~,_,event_based,1
informazioni,_,event_based,1
esatto,prima,event_based,1
traduzione,_,event_based,1
sìsìsì,_,event_based,1
pubbli~,_,event_based,1
opere,traduzioni,event_based,1
italiano,_,event_based,1
non,farà,event_based,1
si,voi,event_based,1
mbeh,un,event_based,1
aah,_,event_based,1
sparks,_,event_based,1
nicholas,_,event_based,1
libro,_,event_based,1
quin~,_,event_based,1
sparks,parks,event_based,1
mhmh,che,event_based,1
coll'ide~,l'idea,event_based,1
mhmh,con,event_based,1
lui,cos'è,event_based,1
mh,le,event_based,1
fidanza,_,event_based,1
po'si,_,event_based,1
dopo,_,event_based,1
fine,_,event_based,1
dell'amore,_,event_based,1
mhmhmh,e,event_based,1
r~,_,event_based,1
del,dell'amore,event_based,1
piaceva,piacevano,event_based,1
mh,l'altro,event_based,1
profe~,_,event_based,1
ottimo,_,event_based,1
eh,massone,event_based,1
chi,è,event_based,1
hollywood,_,event_based,1
ame~,_,event_based,1
eh,entra,event_based,1
discografia,_,event_based,1
eh,gosling,event_based,1
stiamo,_,event_based,1
siam~,_,event_based,1
go~,_,event_based,1
ryan,_,event_based,1
con,_,event_based,1
bene,ritornata,event_based,1
johnny,_,event_based,1
del,il,event_based,1
fotte,_,event_based,1
gosling,_,event_based,1
ryan,fatto,event_based,1
c'è,mi,event_based,1
se,non,event_based,1
cioè,e,event_based,1
r~,cosa,event_based,1
ah,sono,event_based,1
infatti,fatti,event_based,1
parl~,_,event_based,1
depp,_,event_based,1
della,dell'apprendimento,event_based,1
diciazzette,_,event_based,1
sedici,_,event_based,1
dicias~,_,event_based,1
va,grazie,event_based,1
all'incirca,_,event_based,1
c~,all'incirca,event_based,1
valotatori,valutatori,event_based,1
rimane,_,event_based,1
prova,_,event_based,1
valor~,_,event_based,1
cambia,_,event_based,1
ehm,coerenza,event_based,1
okay,ciò,event_based,1
uhm,_,event_based,1
okay,per,event_based,1
ah,valendo,event_based,1
superio~,_,event_based,1
sì,può,event_based,1
s'in~,_,event_based,1
m,siamo,event_based,1
definizio~,_,event_based,1
oggettivamente,_,event_based,1
posso,_,event_based,1
quando,_,event_based,1
quan~,_,event_based,1
ti~,_,event_based,1
un,una,event_based,1
devono,_,event_based,1
da,dai,event_based,1
che,non,event_based,1
mh,costruisco,event_based,1
infatti,e,event_based,1
stranieri,_,event_based,1
mhmh,mi,event_based,1
mhmh,qui,event_based,1
mh,tantissime,event_based,1
mh,un'altra,event_based,1
all~,_,event_based,1
dopo,perché,event_based,1
eh,ci,event_based,1
ahokay,sì,event_based,1
ehm,linguistica,event_based,1
si,biografia,event_based,1
ehm,il,event_based,1
ess~,_,event_based,1
dell'apprendimento,_,event_based,1
un'interrogazione,_,event_based,1
un'interrog~,_,event_based,1
a,un'interrogazione,event_based,1
dei,_,event_based,1
risfor~,_,event_based,1
me~,_,event_based,1
dove,_,event_based,1
ehm,si,event_based,1
produrre,_,event_based,1
lateralizzazione,_,event_based,1
rate~,_,event_based,1
la,dell'apprendimento,event_based,1
ehm,l'insegnamento,event_based,1
ehm,l'insegnante,event_based,1
suo,_,event_based,1
t~,_,event_based,1
quartie~,_,event_based,1
beh,che,event_based,1
eh,guarda,event_based,1
mh,bellissimo,event_based,1
trento~,_,event_based,1
quara~,_,event_based,1
sì,in,event_based,1
eh,o,event_based,1
mh,i,event_based,1
eh,oltre,event_based,1
cioè,katia,event_based,1
mh,negli,event_based,1
certo,però,event_based,1
certo,c'è,event_based,1
ah,chiara,event_based,1
e~,_,event_based,1
eh,un'aula,event_based,1
ah,allora,event_based,1
sara,co,event_based,1
sar~,_,event_based,1
mh,io,event_based,1
eh,un'altra,event_based,1
mhmh,bella,event_based,1
sì,gratis,event_based,1
ehm,la,event_based,1
omaggio,_,event_based,1
eh,nel,event_based,1
ah,mi,event_based,1
però,robin,event_based,1
ah,c'era,event_based,1
certo,evo,event_based,1
eh,sei,event_based,1
diversfiare,_,event_based,1
dise~,diversificare,event_based,1
c~,se,event_based,1
integrali,integrati,event_based,1
intendi,_,event_based,1
itinere,itinerant,event_based,1
valuta,_,event_based,1
de~,valutano,event_based,1
un,che,event_based,1
ehm,eh,event_based,1
capacità,_,event_based,1
ehm,lingua,event_based,1
solo,_,event_based,1
testing,_,event_based,1
grattuggiato,grattugiato,event_based,1
ok~,_,event_based,1
bello,po,event_based,1
confermo,c'era,event_based,1
isp~,_,event_based,1
be~,tutta,event_based,1
va,panettone,event_based,1
eh,c'era,event_based,1
mh,come,event_based,1
l'albero,_,event_based,1
eh,rappresentativi,event_based,1
certo,e,event_based,1
d'accordo,quando,event_based,1
d'accordo,pubblici,event_based,1
macchina,_,event_based,1
ecco,d'accordo,event_based,1
d'accordo,e,event_based,1
pane,_,event_based,1
studenti,_,event_based,1
studen~,_,event_based,1
branca,_,event_based,1
ehm,tranca,event_based,1
fabliaux,_,event_based,1
questi,dopodiché,event_based,1
ques,_,event_based,1
intertestuale,e,event_based,1
sì,lì,event_based,1
sì,da,event_based,1
prenderlo,prendere,event_based,1
eh,l'avevo,event_based,1
esempio,_,event_based,1
revocare,_,event_based,1
li,c'è,event_based,1
ma,massimo,event_based,1
eh,può,event_based,1
l'assemblea,_,event_based,1
l'amministra~,_,event_based,1
causa,_,event_based,1
giusta,_,event_based,1
senza,_,event_based,1
risposta,_,event_based,1
li,_,event_based,1
eh,settantaquattro,event_based,1
l'amm~,_,event_based,1
mh,dimmi,event_based,1
l'unanimità,_,event_based,1
q~,_,event_based,1
manifes~,_,event_based,1
sociale,_,event_based,1
cer~,dal,event_based,1
ah,sì,wer_based,1
mh,ecco,wer_based,1
sì,potente,wer_based,1
l'hai,la,wer_based,1
ce,e,wer_based,1
qua,_,wer_based,1
tutti,_,wer_based,1
fatto,_,wer_based,1
l'hai,_,wer_based,1
liceo,_,wer_based,1
poi,_,wer_based,1
hai,_,wer_based,1
okay,in,wer_based,1
ah,sia,wer_based,1
eh,al,wer_based,1
collingwood,_,event_based,1
cinquanta,_,event_based,1
accorciata,corcello,event_based,1
eh,accorciato,event_based,1
mh,d'alfa,event_based,1
stessa,_,event_based,1
ehm,i,event_based,1
uguali,_,event_based,1
tutte,_,event_based,1
va,l'importante,event_based,1
infatti,la,event_based,1
no,possibile,event_based,1
no,è,event_based,1
tratti,_,event_based,1
manu~,_,event_based,1
risolvibili,quindi,event_based,1
pagine,_,event_based,1
mh,una,event_based,1
qua,_,event_based,1
tutti,_,event_based,1
l'hai,_,event_based,1
liceo,_,event_based,1
poi,_,event_based,1
hai,buono,event_based,1
okay,in,event_based,1
ah,sia,event_based,1
okay,progetto,event_based,1
mh,già,event_based,1
comunicat~,_,event_based,1
compilano,_,event_based,1
mh,l'obiettivo,event_based,1
mh,audio,event_based,1
o,_,event_based,1
dis~,_,event_based,1
eh,al,event_based,1
grossmann,_,event_based,1
daivd,_,event_based,1
gro~,oster,event_based,1
le,dei,event_based,1
no,quel,event_based,1
docu,pure,event_based,1
le,io,event_based,1
document~,biodocumentari,event_based,1
bio,i,event_based,1
le,e,event_based,1
viv~,_,event_based,1
mh,cominciato,event_based,1
manifesti,_,event_based,1
meraviglia,_,event_based,1
se,si,event_based,1
siano,_,event_based,1
condu~,giuntiva,event_based,1
mh,ministri,event_based,1
disgiuntiva,_,event_based,1
de~,_,event_based,1
esatto,il,event_based,1
infatti,una,event_based,1
eh,più,event_based,1
accomandita,_,event_based,1
eh,comandita,event_based,1
ah,una,event_based,1
beh,e,event_based,1
e,è,event_based,1
mh,diciamo,event_based,1
okay,la,event_based,1
mh,stendici,event_based,1
mh,l'accesso,event_based,1
e,l'otto,event_based,1
mia,_,event_based,1
mamma,_,event_based,1
mh,c'era,event_based,1
forza,_,event_based,1
sì,l'ho,event_based,1
po'dietro,po,event_based,1
po'die~,_,event_based,1
elezioni,_,event_based,1
quello,sì,event_based,1
fosse,_,event_based,1
ah,sì,event_based,1
eh,ecco,event_based,1
okay,no,event_based,1
ah,oster,event_based,1
eh,oster,event_based,1
sempre,_,event_based,1
ehm,gli,event_based,1
qu~,_,event_based,1
mhmh,questa,event_based,1
mh,memoria,event_based,1
esatto,so,event_based,1
sì,ne,event_based,1
eh,l'italia,event_based,1
mhmh,dove,event_based,1
mh,lavorato,event_based,1
ehm,sempre,event_based,1
mhmh,ho,event_based,1
ehm,grazie,event_based,1
ah,l'hanno,event_based,1
a,finora,event_based,1
sempre,quindi,event_based,1
signora,_,event_based,1
cin~,_,event_based,1
sì,ma,event_based,1
sì,parte,event_based,1
si,è,event_based,1
credo,_,event_based,1
mh,quando,event_based,1
è,sono,event_based,1
esatto,grazie,event_based,1
mhmhmhmh,_,event_based,1
mh,piace,event_based,1
sì,metà,event_based,1
si,c'era,event_based,1
bologna,_,event_based,1
fos~,_,event_based,1
comprendere,_,event_based,1
fare,_,event_based,1
elima~,_,event_based,1
bilbioteca,_,event_based,1
biblioteche,_,event_based,1
ottobre,_,event_based,1
eh,di,event_based,1
i~,_,event_based,1
fiore~,_,event_based,1
via,_,event_based,1
bolognina,_,event_based,1
sì,preristoraggio,event_based,1
mhmh,per,event_based,1
eh,loro,event_based,1
okay,adesso,event_based,1
mhmhù,_,event_based,1
sì,fino,event_based,1
sì,entra,event_based,1
eh,fare,event_based,1
mhmh,sempre,event_based,1
ce~,_,event_based,1
po'sì,_,event_based,1
eh,mmm,event_based,1
mhmh,sono,event_based,1
sì,cire,event_based,1
sì,imboccava,event_based,1
beh,si,event_based,1
ah,bello,event_based,1
sì,ci,event_based,1
mhmh,questo,event_based,1
eh,i,event_based,1
eh,cartanissetta,event_based,1
hm,_,event_based,1
beh,sì,event_based,1
va,ventisei,event_based,1
eh,trenta,event_based,1
ah,io,event_based,1
əh,_,event_based,1
eh,mara,event_based,1
ca~,_,event_based,1
dipe~,_,event_based,1
tossicope~,_,event_based,1
pon,_,event_based,1
pa~,vaopon,event_based,1
ah,buon,event_based,1
mh,varietà,event_based,1
si,poi,event_based,1
mh,ne,event_based,1
mh,cinque,event_based,1
eh,dell'ottantotto,event_based,1
beh,fai,event_based,1
no,grazie,event_based,1
allora,_,event_based,1
eh,c'hai,event_based,1
eh,invitata,event_based,1
infatti,mmm,event_based,1
eh,andiamo,event_based,1
emh,fa,event_based,1
mh,quelle,event_based,1
