token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps	event
12-19	BO105	12	apprendimento.	apprendimento	linguistic	Intonation=Falling	End=43.9	_	_	_	_	_
13-0	BO105	13	ci	ci	linguistic	_	Begin=44.545	_	_	_	_	_
13-1	BO105	13	sono::	sono	linguistic	_	_	3x2	_	_	_	_
13-2	BO105	13	vari	vari	linguistic	_	_	_	_	_	_	_
13-3	BO105	13	m:	m	linguistic	_	_	0x1	_	_	_	FP
13-4	BO105	13	tipi	tipi	linguistic	_	_	_	_	_	_	_
13-5	BO105	13	di	di	linguistic	_	_	_	_	_	_	_
13-6	BO105	13	test,	test	linguistic	Intonation=weakly_rising	End=48.001	_	_	_	_	_
14-0	BO105	14	e::	e	linguistic	_	Begin=48.615	0x2	_	_	_	FP
14-1	BO105	14	ovvero	ovvero	linguistic	_	_	_	_	_	_	_
14-2	BO105	14	quelli	quelli	linguistic	_	_	_	_	_	_	_
14-3	BO105	14	che	che	linguistic	_	_	_	_	_	_	_
14-4	BO105	14	vengono	vengono	linguistic	_	_	_	_	_	_	_
14-5	BO105	14	presentati	presentati	linguistic	_	_	_	_	_	_	_
14-6	BO105	14	all'	all'	linguistic	SpaceAfter=No	_	_	_	_	_	_
14-7	BO105	14	inizio	inizio	linguistic	_	_	_	_	_	_	_
14-8	BO105	14	di	di	linguistic	_	_	_	_	_	_	_
14-9	BO105	14	un	un	linguistic	_	_	_	_	_	_	_
14-10	BO105	14	corso,	corso	linguistic	Intonation=weakly_rising	End=51.783	_	_	_	_	_
15-0	BO105	15	che	che	linguistic	_	Begin=51.94	_	_	_	_	_
15-1	BO105	15	servono	servono	linguistic	_	_	_	_	_	_	_
15-2	BO105	15	quindi	quindi	linguistic	_	_	_	_	_	_	_
15-3	BO105	15	al'	al'	linguistic	SpaceAfter=No	_	_	_	_	_	_
15-4	BO105	15	insegnante	insegnante	linguistic	_	_	_	_	_	_	_
15-5	BO105	15	per	per	linguistic	_	_	_	_	_	_	_
15-6	BO105	15	distribuire	distribuire	linguistic	_	_	_	_	_	_	_
15-7	BO105	15	gli	gli	linguistic	_	_	_	_	_	_	_
15-8	BO105	15	studenti	studenti	linguistic	_	_	_	_	_	_	_
15-9	BO105	15	in	in	linguistic	_	_	_	_	_	_	_
15-10	BO105	15	base	base	linguistic	_	_	_	_	_	_	_
15-11	BO105	15	al	al	linguistic	_	_	_	_	_	_	_
15-12	BO105	15	loro	loro	linguistic	_	_	_	_	_	_	_
15-13	BO105	15	livello,	livello	linguistic	Intonation=weakly_rising	End=56.133	_	_	_	_	_
16-0	BO105	16	nelle	nelle	linguistic	_	Begin=56.323	_	_	_	_	_
16-1	BO105	16	varie,	varie	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
16-2	BO105	16	classi	classi	linguistic	_	_	_	_	_	_	_
16-3	BO105	16	o	o	linguistic	_	_	_	_	_	_	_
16-4	BO105	16	nei	nei	linguistic	_	_	_	_	_	_	_
16-5	BO105	16	vari	vari	linguistic	_	_	_	_	_	_	_
16-6	BO105	16	corsi,	corsi	linguistic	Intonation=weakly_rising	End=58.723	_	_	_	_	_
17-0	BO105	17	i::	i	linguistic	_	Begin=59.355	0x2	_	_	_	_
17-1	BO105	17	m::	m	linguistic	_	_	0x2	_	_	_	FP
17-2	BO105	17	i	i	linguistic	_	_	_	_	_	_	_
17-3	BO105	17	test	test	linguistic	_	_	_	_	_	_	_
17-4	BO105	17	in	in	linguistic	_	_	_	_	_	_	_
17-5	BO105	17	itinere,	itinere	linguistic	Intonation=weakly_rising	End=61.92	_	_	_	_	_
18-0	BO105	18	che	che	linguistic	_	Begin=61.99	_	_	_	_	_
18-1	BO105	18	sono	sono	linguistic	_	_	_	_	_	_	_
18-2	BO105	18	appunto	appunto	linguistic	_	_	_	_	_	_	_
18-3	BO105	18	le	le	linguistic	_	_	_	_	_	_	_
18-4	BO105	18	prove,	prove	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
18-5	BO105	18	le	le	linguistic	_	_	_	_	_	_	_
18-6	BO105	18	verifiche	verifiche	linguistic	_	_	_	_	_	_	_
18-7	BO105	18	ehm	ehm	linguistic	_	_	_	_	_	_	FP
18-8	BO105	18	(.)	[PAUSE]	shortpause	_	_	_	_	_	_	_
18-9	BO105	18	svolte	svolte	linguistic	_	_	_	_	_	_	_
18-10	BO105	18	durante	durante	linguistic	_	_	_	_	_	_	_
18-11	BO105	18	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_	_
18-12	BO105	18	anno.	anno	linguistic	Intonation=Falling	End=66.63	_	_	_	_	_
19-0	BO105	19	e::hm	ehm	linguistic	_	Begin=66.826	0x2	_	_	_	FP
19-1	BO105	19	diciamo	diciamo	linguistic	_	_	_	_	_	_	_
19-2	BO105	19	che	che	linguistic	_	_	_	_	_	_	_
19-3	BO105	19	(.)	[PAUSE]	shortpause	_	_	_	_	_	_	_
19-4	BO105	19	valutano	valutano	linguistic	_	_	_	_	_	_	_
19-5	BO105	19	solitamente	solitamente	linguistic	_	_	_	_	_	_	_
19-6	BO105	19	la	la	linguistic	_	_	_	_	_	_	_
19-7	BO105	19	competenza	competenza	linguistic	_	_	_	_	_	_	_
19-8	BO105	19	in	in	linguistic	_	_	_	_	_	_	_
19-9	BO105	19	un	un	linguistic	_	_	_	_	_	_	_
19-10	BO105	19	determinato	determinato	linguistic	_	_	_	_	_	_	_
19-11	BO105	19	argomento,	argomento	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
19-12	BO105	19	in	in	linguistic	_	_	_	_	_	_	_
19-13	BO105	19	una	una	linguistic	_	_	_	_	_	_	_
19-14	BO105	19	dterminata,	dterminata	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
19-15	BO105	19	e::hm	ehm	linguistic	_	End=74.381	0x2	_	_	_	FP
20-0	BO105	20	diciamo	diciamo	linguistic	_	Begin=75.371	_	_	_	_	_
20-1	BO105	20	capacità.	capacità	linguistic	Intonation=Falling	_	_	_	_	_	_
20-2	BO105	20	che	che	linguistic	_	_	_	_	_	_	_
20-3	BO105	20	è	è	linguistic	_	_	_	_	_	_	_
20-4	BO105	20	stata	stata	linguistic	_	_	_	_	_	_	_
20-5	BO105	20	svolta	svolta	linguistic	_	_	_	_	_	_	_
20-6	BO105	20	durante	durante	linguistic	_	_	_	_	_	_	_
20-7	BO105	20	(.)	[PAUSE]	shortpause	_	_	_	_	_	_	_
20-8	BO105	20	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_	_
20-9	BO105	20	anno	anno	linguistic	_	_	_	_	_	_	_
20-10	BO105	20	scolastico,	scolastico	linguistic	Intonation=weakly_rising	End=80.101	_	_	_	_	_
21-0	BO104	21	capacità	capacità	linguistic	_	Begin=80.936	_	_	_	_	OR[13]
21-1	BO104	21	in	in	linguistic	_	_	_	_	_	_	OR[13]
21-2	BO104	21	che	che	linguistic	_	_	_	_	_	_	OR[13]
21-3	BO104	21	sen[so]?	senso	linguistic	Intonation=Rising	End=82.48	_	_	_	3-5(3)	OR[13]
22-0	BO105	22	[e]::hm	ehm	linguistic	_	Begin=82.25	0x2	_	_	0-1(3)	FP
22-1	BO105	22	un	un	linguistic	_	_	_	_	_	_	_
22-2	BO105	22	termine	termine	linguistic	_	_	_	_	_	_	_
22-3	BO105	22	un	un	linguistic	_	_	_	_	_	_	_
22-4	BO105	22	po'::	po'	linguistic	_	End=83.98	1x2	_	_	_	_
23-0	BO104	23	mh	mh	linguistic	_	Begin=83.986|End=84.4	_	_	_	_	BC
24-0	BO105	24	un	un	linguistic	_	Begin=87.01	_	_	_	_	SR[14]
24-1	BO105	24	de~	de~	linguistic	Interrupted=Yes	_	_	_	_	_	SR[14]
24-2	BO105	24	che	che	linguistic	_	_	_	_	_	_	SR[14]
24-3	BO105	24	valuta	valuta	linguistic	_	_	_	_	_	_	SR[14]
24-4	BO105	24	diciamo	diciamo	linguistic	_	_	_	_	_	_	SR[14]
24-5	BO105	24	appunto	appunto	linguistic	_	_	_	_	_	_	SR[14]
24-6	BO105	24	un	un	linguistic	_	_	_	_	_	_	SR[14]
24-7	BO105	24	determinato	determinato	linguistic	_	_	_	_	_	_	SR[14]
24-8	BO105	24	argomento.	argomento	linguistic	Intonation=Falling	_	_	_	_	_	SR[14]
24-9	BO105	24	che	che	linguistic	_	_	_	_	_	_	_
24-10	BO105	24	è	è	linguistic	_	_	_	_	_	_	_
24-11	BO105	24	stato	stato	linguistic	_	_	_	_	_	_	_
24-12	BO105	24	svolto	svolto	linguistic	_	_	_	_	_	_	_
24-13	BO105	24	durante	durante	linguistic	_	_	_	_	_	_	_
24-14	BO105	24	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_	_
24-15	BO105	24	anno	anno	linguistic	_	_	_	_	_	_	_
24-16	BO105	24	scolastico.	scolastico	linguistic	Intonation=Falling	End=92.36	_	_	_	_	_
25-0	BO104	25	in	in	linguistic	_	Begin=94.543	_	_	_	_	OR[15]
25-1	BO104	25	itinere	itinere	linguistic	_	_	_	_	_	_	OR[15]
25-2	BO104	25	inten[di]?	intendi	linguistic	Intonation=Rising	End=96.07	_	_	_	5-7(4)	OR[15]
26-0	BO105	26	[sì]	sì	linguistic	_	Begin=95.66	_	_	_	0-2(4)	_
26-1	BO105	26	in	in	linguistic	_	_	_	_	_	_	_
26-2	BO105	26	it[inere].	itinere	linguistic	Intonation=Falling	_	_	_	_	2-7(5)	_
26-3	BO105	26	durante:	durante	linguistic	_	_	6x1	_	_	_	_
26-4	BO105	26	durante	durante	linguistic	_	_	_	_	_	_	_
26-5	BO105	26	appunto	appunto	linguistic	_	_	_	_	_	_	_
26-6	BO105	26	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_	_
26-7	BO105	26	anno.	anno	linguistic	Intonation=Falling	End=98.378	_	_	_	_	_
27-0	BO104	27	[mh]	mh	linguistic	_	Begin=96.216|End=96.626	_	_	_	0-2(5)	BC
28-0	BO105	28	e	e	linguistic	_	Begin=99.11	_	_	_	_	_
28-1	BO105	28	(.)	[PAUSE]	shortpause	_	_	_	_	_	_	_
28-2	BO105	28	eh	eh	linguistic	_	_	_	_	_	_	FP
28-3	BO105	28	i	i	linguistic	_	_	_	_	_	_	_
28-4	BO105	28	test,	test	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
28-5	BO105	28	finali.	finali	linguistic	Intonation=Falling	_	_	_	_	_	_
28-6	BO105	28	ovvero:	ovvero	linguistic	_	_	5x1	_	_	_	_
28-7	BO105	28	le	le	linguistic	_	_	_	_	_	_	_
28-8	BO105	28	prove	prove	linguistic	_	_	_	_	_	_	_
28-9	BO105	28	di	di	linguistic	_	_	_	_	_	_	_
28-10	BO105	28	verifica.	verifica	linguistic	Intonation=Falling	_	_	_	_	_	_
28-11	BO105	28	alla	alla	linguistic	_	_	_	_	_	_	_
28-12	BO105	28	fine	fine	linguistic	_	_	_	_	_	_	_
28-13	BO105	28	di	di	linguistic	_	_	_	_	_	_	_
28-14	BO105	28	un	un	linguistic	_	_	_	_	_	_	_
28-15	BO105	28	corso	corso	linguistic	_	_	_	_	_	_	_
28-16	BO105	28	scolastico.	scolastico	linguistic	Intonation=Falling	End=104.79	_	_	_	_	_
29-0	BO105	29	diverse	diverse	linguistic	_	Begin=104.995	_	_	_	_	_
29-1	BO105	29	sono	sono	linguistic	_	_	_	_	_	_	_
29-2	BO105	29	le	le	linguistic	_	_	_	_	_	_	_
29-3	BO105	29	certificazioni.	certificazioni	linguistic	Intonation=Falling	End=106.748	_	_	_	_	_
30-0	BO105	30	e::hm	ehm	linguistic	_	Begin=107.508	0x2	_	_	_	FP
30-1	BO105	30	in	in	linguistic	_	_	_	_	_	_	_
30-2	BO105	30	quanto,	quanto	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
30-3	BO105	30	mentre	mentre	linguistic	_	_	_	_	_	_	_
30-4	BO105	30	i	i	linguistic	_	_	_	_	_	_	_
30-5	BO105	30	test	test	linguistic	_	_	_	_	_	_	_
30-6	BO105	30	(.)	[PAUSE]	shortpause	_	_	_	_	_	_	_
30-7	BO105	30	svolti	svolti	linguistic	_	_	_	_	_	_	_
30-8	BO105	30	durante	durante	linguistic	_	_	_	_	_	_	_
30-9	BO105	30	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_	_
30-10	BO105	30	anno	anno	linguistic	_	_	_	_	_	_	_
30-11	BO105	30	sono:	sono	linguistic	_	_	3x1	_	_	_	_
30-12	BO105	30	diciamo	diciamo	linguistic	_	_	_	_	_	_	_
30-13	BO105	30	prodotti,	prodotti	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
30-14	BO105	30	e	e	linguistic	_	_	_	_	_	_	_
30-15	BO105	30	valutati	valutati	linguistic	_	_	_	_	_	_	_
30-16	BO105	30	dalla	dalla	linguistic	_	_	_	_	_	_	_
30-17	BO105	30	stessa	stessa	linguistic	_	_	_	_	_	_	_
30-18	BO105	30	persona	persona	linguistic	_	_	_	_	_	_	_
30-19	BO105	30	dallo	dallo	linguistic	_	_	_	_	_	_	_
30-20	BO105	30	stesso	stesso	linguistic	_	_	_	_	_	_	_
30-21	BO105	30	docente,	docente	linguistic	Intonation=weakly_rising	End=116.966	_	_	_	_	_
31-0	BO105	31	le	le	linguistic	_	Begin=117.29	_	_	_	_	_
31-1	BO105	31	certificazioni,	certificazioni	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
31-2	BO105	31	tassativamente	tassativamente	linguistic	_	_	_	_	_	_	_
31-3	BO105	31	devono	devono	linguistic	_	_	_	_	_	_	_
31-4	BO105	31	essere	essere	linguistic	_	_	_	_	_	_	_
31-5	BO105	31	(.)	[PAUSE]	shortpause	_	_	_	_	_	_	_
31-6	BO105	31	costruite	costruite	linguistic	_	_	_	_	_	_	_
31-7	BO105	31	da	da	linguistic	_	_	_	_	_	_	_
31-8	BO105	31	un	un	linguistic	_	_	_	_	_	_	_
31-9	BO105	31	altro:	altro	linguistic	_	_	4x1	_	_	_	_
31-10	BO105	31	da	da	linguistic	_	_	_	_	_	_	SR[16]
31-11	BO105	31	un	un	linguistic	_	_	_	_	_	_	SR[16]
31-12	BO105	31	altro	altro	linguistic	_	_	_	_	_	_	SR[16]
31-13	BO105	31	ente	ente	linguistic	_	_	_	_	_	_	SR[16]
31-14	BO105	31	da	da	linguistic	_	_	_	_	_	_	SR[16]
31-15	BO105	31	un'	un'	linguistic	SpaceAfter=No	_	_	_	_	_	SR[16]
31-16	BO105	31	altra	altra	linguistic	_	_	_	_	_	_	SR[16]
31-17	BO105	31	(.)	[PAUSE]	shortpause	_	_	_	_	_	_	SR[16]
31-18	BO105	31	persona	persona	linguistic	_	_	_	_	_	_	SR[16]
31-19	BO105	31	fisica.	fisica	linguistic	Intonation=Falling	End=124.086	_	_	_	_	SR[16]
32-0	BO105	32	e	e	linguistic	_	Begin=124.448	_	_	_	_	_
32-1	BO105	32	valutate,	valutate	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
32-2	BO105	32	da	da	linguistic	_	_	_	_	_	_	_
32-3	BO105	32	chi	chi	linguistic	_	_	_	_	_	_	_
32-4	BO105	32	non	non	linguistic	_	_	_	_	_	_	_
32-5	BO105	32	le	le	linguistic	_	_	_	_	_	_	_
32-6	BO105	32	ha	ha	linguistic	_	_	_	_	_	_	_
32-7	BO105	32	costruite.	costruite	linguistic	Intonation=Falling	_	_	_	_	_	_
32-8	BO105	32	diciamo.	diciamo	linguistic	Intonation=Falling	End=129.073	_	_	_	_	_
33-0	BO105	33	e::hm.	ehm	linguistic	Intonation=Falling	Begin=129.824|End=131.038	0x2	_	_	_	FP
34-0	BO105	34	i	i	linguistic	_	Begin=131.053	_	_	_	_	_
34-1	BO105	34	test,	test	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
34-2	BO105	34	possono	possono	linguistic	_	_	_	_	_	_	_
34-3	BO105	34	essere	essere	linguistic	_	_	_	_	_	_	_
34-4	BO105	34	(.)	[PAUSE]	shortpause	_	_	_	_	_	_	_
34-5	BO105	34	diversi,	diversi	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
34-6	BO105	34	nel	nel	linguistic	_	_	_	_	_	_	_
34-7	BO105	34	senso	senso	linguistic	_	_	_	_	_	_	_
34-8	BO105	34	che	che	linguistic	_	_	_	_	_	_	_
34-9	BO105	34	possono	possono	linguistic	_	_	_	_	_	_	_
34-10	BO105	34	essere	essere	linguistic	_	_	_	_	_	_	_
34-11	BO105	34	fattoriali	fattoriali	linguistic	_	_	_	_	_	_	_
34-12	BO105	34	o	o	linguistic	_	_	_	_	_	_	_
34-13	BO105	34	integrati.	integrati	linguistic	Intonation=Falling	End=137.165	_	_	_	_	_
35-0	BO105	35	e:hm	ehm	linguistic	_	Begin=137.628	0x1	_	_	_	FP
35-1	BO105	35	questo	questo	linguistic	_	_	_	_	_	_	_
35-2	BO105	35	dipende	dipende	linguistic	_	_	_	_	_	_	_
35-3	BO105	35	da	da	linguistic	_	_	_	_	_	_	_
35-4	BO105	35	se	se	linguistic	_	_	_	_	_	_	_
35-5	BO105	35	valutano	valutano	linguistic	_	_	_	_	_	_	_
35-6	BO105	35	un	un	linguistic	_	_	_	_	_	_	_
35-7	BO105	35	solo	solo	linguistic	_	_	_	_	_	_	_
35-8	BO105	35	fattore,	fattore	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
35-9	BO105	35	appunto	appunto	linguistic	_	_	_	_	_	_	_
35-10	BO105	35	fattoriali,	fattoriali	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
35-11	BO105	35	o	o	linguistic	_	_	_	_	_	_	_
35-12	BO105	35	integrali	integrali	linguistic	_	_	_	_	_	_	SR[17]
35-13	BO105	35	e	e	linguistic	_	_	_	_	_	_	SR[17]
35-14	BO105	35	c~	c~	linguistic	Interrupted=Yes	_	_	_	_	_	SR[17]
35-15	BO105	35	integrati	integrati	linguistic	_	_	_	_	_	_	SR[17]
35-16	BO105	35	cercano	cercano	linguistic	_	_	_	_	_	_	SR[17]
35-17	BO105	35	di	di	linguistic	_	_	_	_	_	_	_
35-18	BO105	35	(.)	[PAUSE]	shortpause	_	_	_	_	_	_	_
35-19	BO105	35	valutare	valutare	linguistic	_	_	_	_	_	_	_
35-20	BO105	35	appunto	appunto	linguistic	_	_	_	_	_	_	_
35-21	BO105	35	(.)	[PAUSE]	shortpause	_	_	_	_	_	_	_
35-22	BO105	35	le:	le	linguistic	_	_	1x1	_	_	_	_
35-23	BO105	35	conoscenze	conoscenze	linguistic	_	_	_	_	_	_	_
35-24	BO105	35	più:	più	linguistic	_	_	2x1	_	_	_	_
35-25	BO105	35	più	più	linguistic	_	_	_	_	_	_	_
35-26	BO105	35	globali.	globali	linguistic	Intonation=Falling	End=147.85	_	_	_	_	_
36-0	BO104	36	[che]	che	linguistic	_	Begin=148.16	_	_	_	0-3(6)	_
36-1	BO104	36	cosa	cosa	linguistic	_	_	_	_	_	_	_
36-2	BO104	36	s'(	s'	linguistic	SpaceAfter=No	_	_	_	_	_	_
36-3	BO104	36	intende	intende	linguistic	_	_	_	_	_	_	_
36-4	BO104	36	per	per	linguistic	_	_	_	_	_	_	_
36-5	BO104	36	test	test	linguistic	_	_	_	_	_	_	_
36-6	BO104	36	(.)	[PAUSE]	shortpause	_	_	_	_	_	_	_
36-7	BO104	36	fattoriale?	fattoriale	linguistic	Intonation=Rising	End=150.65	_	_	_	_	_
37-0	BO105	37	[eh:m]	ehm	linguistic	_	Begin=148.17|End=149.088	1x1	_	_	0-3(6)	FP
38-0	BO105	38	test	test	linguistic	_	Begin=151.168	_	_	_	_	_
38-1	BO105	38	fattoriale,	fattoriale	linguistic	Intonation=weakly_rising	_	_	_	_	_	_
38-2	BO105	38	e::hm.	ehm	linguistic	Intonation=Falling	_	0x2	_	_	_	FP
38-3	BO105	38	[si]	si	linguistic	_	End=153.14	_	_	_	0-2(7)	_
39-0	BO104	39	[o:]	o	linguistic	_	Begin=152.78	0x1	_	_	0-1(7)	_
39-1	BO104	39	anche	anche	linguistic	_	_	_	_	_	_	_
39-2	BO104	39	un	un	linguistic	_	_	_	_	_	_	_
39-3	BO104	39	esempio	esempio	linguistic	_	_	_	_	_	_	_
39-4	BO104	39	se	se	linguistic	_	_	_	_	_	_	_
39-5	BO104	39	hai	hai	linguistic	_	_	_	_	_	_	_
